,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,"Data Scientist (SAS, Python)",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Contract,Middle Management,Information Technology,"$5,000to$7,500",Monthly," Support migration of existing SSB ATM Forecasting model currently on SAS to Python Review existing SSB ATM Forecasting model running in Python & enhance if required Be able to understand SAS Scripts & convert them to Python Provide useful insights & support to SSB Ops by developing reports using Python as required Provide assistance to Technical Business Analyst / Risk & Control requirement by preparing SOP documentation for existing Python Codes – which includes (and is not limited to the following) : debugging and enhancement as required by Business / Tech team. Work closely with system owners and technical leads for writing, reviewing Business Requirement document, reviewing Functional Specification, producing and executing UAT test plan for Project-related tasks Manage ad-hoc analysis such as statistical and predictive modelling to solve / respond to business questions Additional scope may be included depending on business needs ","Requirements Degree holder in Engineering / Statistics with at least 3 years relevant experience Advanced skills in MS Office Products (VBA and Macros skills) and must possess both analytics language of SAS and Python A good team player who can work well with product specialist, systems specialist, technical teams and external vendors Proficient in SQL and query optimization on Teradata and Hadoop Platform Prior experience in data science work preferred Excellent inter-personal and communication skills in dealing with all levels of staff and external parties Demonstrate Critical Thinking, ability to suggest improvements and identify risks A highly organized individual with ability to work under pressure with accuracy and commitment Self-starter, independent and able to rise to challenges and meet deadlines effectively ",https://www.mycareersfuture.sg/job/data-scientist-optimum-solutions-63455ef60186ec1b886a1cc4edd0b329,Central,
1,Python Developer,U3 INFOTECH PTE. LTD.,"Contract, Full Time",Professional,Information Technology,"$8,000to$10,000",Monthly,"• Strong Python skills • Experience in building web APIs in Python frameworks like Flask, Django • Experience in building ETL in Python with schedulers like Airflow • Experience in writing automated Python unit tests • Initiative to learn and improve his/her work • Experience in GIS or ML is a bonus","Requirements• Strong Python skills • Experience in building web APIs in Python frameworks like Flask, Django • Experience in building ETL in Python with schedulers like Airflow • Experience in writing automated Python unit tests • Initiative to learn and improve his/her work • Experience in GIS or ML is a bonus",https://www.mycareersfuture.sg/job/python-developer-u3-infotech-04543fdcfaadb1d6f5da0a85ef316208,Central,
2,Python Developer,U3 INFOTECH PTE. LTD.,"Contract, Full Time",Professional,Information Technology,"$5,500to$8,000",Monthly," Strong Python skills with experience in building web APIs in Python frameworks like Flask, Django Experience in building ETL in Python with schedulers like Airflow Experience in writing automated Python unit tests Initiative to learn and improve his/her work Experience in GIS or ML is a bonus ","Requirements Strong Python skills with experience in building web APIs in Python frameworks like Flask, Django Experience in building ETL in Python with schedulers like Airflow Experience in writing automated Python unit tests Initiative to learn and improve his/her work Experience in GIS or ML is a bonus ",https://www.mycareersfuture.sg/job/python-developer-u3-infotech-28bcb86578ae6fa98a0746207a70438a,Central,
3,"PYTHON DEVELOPER, SITE RELIABILITY ENGINEER",TRADING TECHNOLOGIES SOFTWARE (SINGAPORE) PTE. LTD.,Full Time,Professional,Information Technology,"$90,000to$150,000",Annually,"We are seeking a Site Reliability Engineer for our Singapore team who thrives on pushing the limits of technology to produce state of the art solutions. Our SRE team is challenged with creating scalable solutions for monitoring live trading infrastructures, building command frameworks, and generating actionable alerts for our on call operations members. Responsibilities:  Code, script and automate using Python Implement new product features, as well as enhance and maintain existing functionality by monitoring solutions and performance characteristics Create/enhance tools to make operational workflows more automated and less error-prone Participate in design discussions, review sessions and prototyping Ensure the scalability and quality of all code Assist with product documentation, unit testing, monitoring and ensuring overall product quality Provide support of trading system issues across the software, hardware and network stacks to ensure that services are restored immediately Work one on one with other application teams to ensure they can provide proper monitoring and tools before their application moves into a live environment ","RequirementsQualifications:  Minimum 2 years of experience with Python Experience with Icinga2, Prometheus or Splunk a plus Experience with AWS a plus Solid understanding of functional programming, object oriented programming an computer science foundations Good understanding of backend and server side components Proven strong communication skills Must be self -directed, flexible and have the ability to prioritise and handle multiple projects simultaneously Experience working in an Agile environment is a plus ",https://www.mycareersfuture.sg/job/python-developer-site-reliability-engineer-trading-technologies-software-e23635bffec55961b8574b4ed2552a7f,,
4,Python Programmer,"KONG, LIM & PARTNERS LLP","Part Time, Permanent, Temporary, Contract, Freelance, Full Time",Professional,Information Technology,"$6,000to$7,000",Monthly," Python programming to integrate and enhance our RPA projects using UiPath. Code, test and trouble shoot programs utilizing the appropriate hardware, database, and programming technology. Refine data and format final product. Maintain and modify programs; make approved changes by amending flow charts, develop detailed programming logic and coding changes. Test and develop programming modifications. Other duties as assigned. ",Requirements Programming skill and knowledge in Python Knowledge in UiPath ,https://www.mycareersfuture.sg/job/python-programmer-kong-lim-partners-4047c6d9b9f619cab324ddf238bb9329,Central,
5,Senior Software Developer ( Python),BENTO INVEST PTE. LTD.,"Permanent, Full Time",Senior Executive,Information Technology,"$4,000to$7,000",Monthly,"Responsibilities - Develop backend Restful API for financial applications/tools using Django Python framework to help investors build, customise and analyse their investment assets. - Write well-written logic code to optimize investment portfolio or planning long-term investment. (basic maximize/minimize problems in mathematic) - Building loosely coupled system which consists of many services/components and deploys these services to AWS infrastructure. - Work with different teams (in multiple regions) and follow Agile development processes.","RequirementsRequirements Job Requirements: -  4+ years of experience in web development with strong knowledge of Linux ecosystem, Agile, Git, working with CI/CD pipeline development process.      - Min 3+ year of experience in Python programming and Django with Django Rest Framework to build RESTful API backend. - Having 2+ year of experience with one of Single Page Application front-end technology (Angular/React) and have the ability to customise HTML5 and CSS template. - Experienced with Postgres RDBMS, NumPy, Scipy, CVXOPT, celery, wkhtmltopdf, nginx, AWS cloud infrastructure. Preferred Qualification: - Have basic dev-ops skill and a good understanding of server side technologies (bash, SSH, Docker container, microservices, OAuth, JWT, AES encryption, etc ..) - Strong mathematic skill or having finance knowledge is a plus. - Familiarity with Test Automation Tools and Unit Testing frameworks. - Excellent problem solving and debugging skills. - Comfortable working with existing code and also writing code from scratch. - Team player with strong organizational and interpersonal skills. - Bachelor/Master graduated in Computer Science related fields. ",https://www.mycareersfuture.sg/job/senior-software-developer-bento-invest-c0a66269d35a47c122ead05b791b2e33,,Government support available
6,Python Application Analyst / Developer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Full Time,Middle Management,Information Technology,"$4,500to$7,000",Monthly,"Optimum Solutions (Company Registration Number: 199700895N), is a full spectrum Software Solutions and Services Company. Software services from Optimum are designed to deliver Enterprise Client-Server/ Multi-tier and Web based solutions across the entire value chain, spanning on-site consulting services to turnkey software projects. We started our operations in March 1997. Role : Python Application Analyst/Developer  Total Years: 4+ years  ","RequirementsRequirement : Python Application Analyst/Developer Job Description : Primary Skills : Development experience building scalable backend services in Python and Django Responsibilities : Tech Stack: ● Python, Django ● ES6, React ● AWS, Serverless ● Grow innovative, ground-breaking products that address real customer Design and architect innovative, modern architectures ● Build, support and mentor effective teams ● Write code alongside your development team  ",https://www.mycareersfuture.sg/job/python-application-analyst-developer-optimum-solutions-3be7ea2dea9111f5c35cfce57ad6b2ed,"South, East, Central",
7,Python Developer,SYNECHRON TECHNOLOGIES SINGAPORE PTE. LTD.,Full Time,"Professional, Senior Executive",Information Technology,"$70,000to$140,000",Annually,Synechron is looking to on-board a highly motivated individual for the role of a Python Developer in a significant project.,"RequirementsWe are looking for a Python Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic definition and maintenance of the central database and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.  Responsibilities:  Integration of user-facing elements developed by front-end developers with server-side logic Writing reusable, testable, and efficient code Design and implementation of low-latency, high-availability, and performant applications Implementation of security and data protection Integration of data storage solutions and API Gateways  Skills and Qualifications  Strong proficiency with Python, JavaScript and REGEX Ability to build and consume API Understanding the nature of asynchronous programming and its quirks and workarounds Good understanding of server-side templating languages Good understanding of server-side CSS pre-processors Good understanding of front-end technologies, such as HTML5, and CSS3 Understanding accessibility and security compliance, user authentication and authorization between multiple systems, servers, and environments Integration of APIs, multiple data sources and databases into one system Good knowledge in API Gateways and proxies, such as Axway, WSO2, Kong, Nginx, Apache HTTP Server. Understanding fundamental design principles behind a scalable application Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform Creating database schemas that represent and support business processes, knowledge in PostgreSQL Implementing automated testing platforms, unit tests, and CICD Proficient understanding of code versioning tools, such as Git, Bitbucket Understanding of container platform, such as Docker Experience in deploying on Cloud AWS (RDS, ElastiCache, EC2, Autoscaling, ALB/ ELB, ECS etc.) Familiar and working experience with Ansible, Jenkins, Terraform ",https://www.mycareersfuture.sg/job/python-developer-synechron-technologies-singapore-7af08d216eb3c01e562b4a772e8a1852,Central,Government support available
8,Full Stack python / PHP Web Developer,XILINX ASIA PACIFIC PTE. LTD.,Permanent,Junior Executive,Information Technology,"$3,000to$4,800",Monthly,"Description Xilinx is the world's leading provider of All Programmable FPGAs, SoCs and 3D ICs. These industry-leading devices are coupled with a next-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. Our All Programmable devices underpin today's most advanced electronics. Among the broad range of end markets we serve are:    Aerospace/Defense   Automotive   Broadcast   Consumer   High Performance Computing   Industrial/Scientific/Medical(ISM)   Wired   Wireless   Xilinx is looking for a motivated full stack python/php web developer to develop internal tools for Global Operations and Quality (GOQ) department.  The tools will be used across different teams in GOQ to help improve efficiency on logistic process.  Candidate will have chance to build these tools from scratch and encourage using latest SW technology for development.   Job Responsibilities:  Collects requirements from different stakeholders and proposes specification based on the requirements. Exercises best software practice to ensure the tools quality. Performs code review of team member implementations to ensure the correct behavior of specifications and interpretation of associated data Writes/maintains test cases with every new features, enhancements, and bug fixes Proactively investigates new methodology and latest SW technology to help the tools become more scalable and maintainable Works with stakeholders in different locations to collaborate new features development and test plan Works with the team to develop software testing strategy ","RequirementsRequired Skills:   BS/MS in Computer Science or equivalent   1 to 2 years of professional software engineering   Proficient in Python/PHP and SQL   Experience with AJAX, JQuery, JSON   Experience with Open Source technologies and Linux operating system   Experience in HTML5, CSS, and Bootstrap   Proficient in a source control system (preferably Git)   Familiar with automation and system regression testing is a plus   Familiar with MongoDB is a plus   Knowledge on Perl, C++ and shell scripting are all a plus   Excellent written and verbal communication skills   Strong troubleshooting and problem-solving skills  ",https://www.mycareersfuture.sg/job/full-stack-python-php-web-developer-xilinx-asia-pacific-e748b3fdb49bf00af884d000607c80e9,East,Government support available
9,Python Full Stack Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,Contract,Professional,Information Technology,"$7,500to$9,000",Monthly,"• Bachelor’s degree in Computer Science, Engineering, or related field • At least 3 years of relevant work experience • A strong technical background in development roles (Python) • Experience in Django web frameworks • A focus on delivering quality, well-tested software • The ability to work independently in a fast-paced environment","RequirementsYou will be responsible for: • Identifying opportunities to improve business process by leveraging technology and tools • Work on enterprise Finance systems • Developing backend scripts to automate processes with large data size • Developing web front-ends to allow users to interact with data and execute business workflows • Ensuring code quality, including sufficient automated test coverage • Improving performance of files processing job with big size • Improving Mysql queries and database structure",https://www.mycareersfuture.sg/job/python-full-stack-developer-hydrogen-consulting-solutions-b0432f5df251b995383f28244b4c816f,"South, Central",Government support available
