,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,"Senior Manager  /  Manager, Data Management & Analytics",Health Promotion Board,Full Time,Manager,"Healthcare / Pharmaceutical, Public / Civil Service",Salary undisclosed,,"Job Responsibilities ·         Manage heterogeneous huge data sets (e.g. immunisation data, diseases related data, health promotion related data, etc.) and ensure data sets are properly structured to facilitate data analysis and reporting ·         Spearhead in managing data eco-system and data management issues (e.g. resolve data quality issues, ensure timely submission of data, discuss structuring of data sets to support reporting requirements, etc.) ·         Manage internal and external stakeholders (e.g. data contributors, data users, vendors, etc.) to overcome constraints and strategise for solutions in resolving technical issues to ensure that quality data can be extracted for data analysis and reporting ·         Manage and ensure adherence to timeline to facilitate timely submission of registry reports, information and/or provision of relevant data sets to stakeholders ·         Oversee and administer the National Immunisation Registry’s IT system which include multiple stakeholders management and ensuring adherence to users’ needs and security requirements ·         Spearhead data security and drive best practices to safeguard and minimize risks of data leakage ·         In addition to the above core job responsibilities, the ability to perform data analytics to derive insights to facilitate decision-making by management will be an added advantage   Job Requirements   ·         Qualifications in Information Technology or equivalent ·         At least 3 years of data management experience, preferably in healthcare cluster ·         Experience in relational databases such as Oracle, MySQL, MS-SQL etc. Must be proficient in PL-SQL/SQL scripting language ·         At least 1 years of IT project management preferably in healthcare cluster ·         Preferably with knowledge of using software tools like MS-Access, Excel macro-script for data processing, Toad, SPSS and STATA for simple statistical analysis ·         Domain knowledge on immunisation related subject would be an added advantage ·         Prior knowledge/experience in programming languages such as Java, C#/C++, ASP, VB, PHP, Unix etc. would be an added advantage  ",,https://www.mycareersfuture.sg/job/senior-manager-manager-data-management-analytics-health-promotion-board-904255ed1a0a40e77d7823b8224940f2,,
1,Data Management Analyst-Operations (Financial Institution / Town),UNILITE RECRUITMENT SERVICES PTE. LTD.,Full Time,"Executive, Junior Executive","Accounting / Auditing / Taxation, Banking and Finance, Information Technology",Salary undisclosed,," Part of Operations Data Management team which manage and support data consumed at the enterprise level Create and maintain static, financial instruments, reference and market data Work closely with various stakeholders to understand the data requirement and capture data accurately and timely  Perform data validation and provide data analysis and insight on data quality and patterns Resolve data exceptions on a daily basis and independently Review the current processes and update the data management system and standard operating procedures Involve in data management projects and enhancements when applicable Review the existing data in the system and to change or update when necessary ","Requirements Diploma/Degree in Finance, Engineering or Computing discipline with minimum 1 year experience in data-related or settlement/securities operations role  Understanding of enterprise data modelling concept, market data or financial instruments data will be preferred Strong Excel skills, understanding of VBA will be an added advantage Meticulous and committed with good problem solving skills  Team player and able to work independently  Have good communication skills and able to articulate well Competitive Base Salary + AWS + Variable Bonus  Interested candidates can either forward your CVs to hr@unilite-recruit.com.sg or log in to apply or apply via our website. We will be in touch to discuss this opportunity in more detail if you are shortlisted.  Personal data collected will be used for recruitment purposes only.  By applying for this position, you accept our Private Policy found at http://www.unilite-recruit.com.sg/others/privacy-policy. (EA License No: 08C5251)",https://www.mycareersfuture.sg/job/data-management-analyst-operations-unilite-recruitment-services-565d5ed6978c091752d10f8391774e28,Central,Government support available
2,"Manager, Clinical Data Management",TESSA THERAPEUTICS LTD.,"Permanent, Full Time",Manager,Healthcare / Pharmaceutical,Salary undisclosed,,"Job Description This individual will work closely with the Clinical Trial team to provide direction and oversight for Clinical Data Management (CDM) deliverables.  This Individual will liaise with Contract Research Organizations (CROs) and/or external vendors in all aspects of data management for assigned trial(s). Responsibilities  Develop internal CDM guidelines and quality processes to ensure final databases are accurate Provide oversight and participate in study set-up and initiation procedures such as CRF design, database design, edit check design/review, and DMP (data management plan) review Perform review of clinical trial protocols, with focus on potential CDM issues and cross-study data consistency Oversee all CDM activities performed by CROs, from study start-up, through database lock Ensures the proper collection, management, and storage of clinical trial data (according to regulatory requirements) Manage the incorporation of external datasets and final production of datasets for regulatory submission Perform data validation and quality checks, and initiate corrective and preventive actions as indicated Summarize data to reflect progress of clinical trial(s) and quality of data and sites on periodic and as required Participate in other activities and meetings to support the Clinical Trial Team as needed Represent CDM and effectively communicate requirements, strategy, timelines, and deliverables at internal cross functional team meetings and meeting with external vendors ","RequirementsRequirements  Bachelor’s or Master’s degree in scientific, biological, statistical, computer science, or related field At least 5 years of clinical trial data management experience Working knowledge of Electronic Data Capture and other trial-associated database systems Proficiency with Microsoft Office (Excel, Word, Outlook, Power Point) Experience in Industry-sponsored Oncology trials an added advantage ",https://www.mycareersfuture.sg/job/manager-clinical-data-management-tessa-therapeutics-a3ce7789b91cde28adb575dbd7999f38,Central,
3,"Data Analyst, Data Management",AIA SINGAPORE PRIVATE LIMITED,Permanent,Professional,"Banking and Finance, Information Technology","$4,500to$6,000",Monthly," Work collaboratively with your Data, Analytics and BI colleagues to deliver on your objectives and openly share knowledge amongst the organisation. Build and maintain strong effective relationships with key internal and external business stakeholders to ensure that your data analytics solutions meet the expectation of key business stakeholders. Build dashboarding solutions utilising and linking a range of data with complex calculations and functions using Tableau and other tools over desktop and mobile devices. Assess and understand the business requirements through liaison with the business stakeholders, Business Analysts and the Project Managers. Quickly transform data into strategic actionable insights and recommendations to drive and support improvements in productivity, sales effectiveness and customer satisfaction through your dashboarding. Support the Enterprise Data and Analytics COE in terms data acquisition and structuring data fit for use on analytics projects. Pursue personal development of skills and knowledge for the effective performance of the role. Other tasks or responsibilities assigned from time to time by management. ","Requirements Degree qualification in Business, Engineering or IT related subject. 2+ years development experience with all the following or equivalent tools: 	 Tableau 2018.x with Server Administration advantageous. R or Python.   Ability to manipulate and analyse complex, high-volume and high-dimensionality data from various sources. Good understanding of design and architecture principles. Team player who is detailed and deadline oriented, with a strong work ethic Excellent communication skills. Insurance or Financial services experience favourable. Strong analytical and statistical analysis skills utilizing machine learning methodologies. Motivated and confident performer who can present actionable insights and recommendations to the business. Knowledge or experience of cloud computing is advantageous. Knowledge or experience of data management and data ingestion is advantageous. ",https://www.mycareersfuture.sg/job/data-analyst-data-management-aia-singapore-16a3c3a228354ff7749efaaae1e2e1f2,Central,Government support available
4,Research Data Management Associate (Contract),GIC PRIVATE LIMITED,Full Time,Executive,Information Technology,"$3,500to$7,000",Monthly,"The Technology Group (TG) is a key enabler to keep our business moving forward and is constantly exploiting state-of-the-art information technologies to enhance GIC’s ability to be the leading global long-term investment firm. We aim to provide users with empowering and transformational capabilities, and to create an inclusive, innovative and integrated work environment. We are looking for a suitable candidate to join the Research and Market Data Management unit as part of the Data Governance & Management team within TG to play a part in shaping GIC’s strategic, long-term vision of establishing itself as a data-driven organisation. This role will be based on a 1-year contract with the option to extend if required.  Responsibilities:  Work closely with business end-users to implement and support data solutions using best-of-breed technology and methodology. Conduct data management work including data quality checks, job management, ops process improvement, bug fixes and downstream notification. Analyze, tackle and resolve day-to-day operational incidents and advisory to business users. Analyze operations data (SLAs, customer satisfaction, delivery quality etc.) to identify actionable trends for continual improvements. ","RequirementsRequirements:    A good degree; preferably in Finance or Computer Science. Fluency in English and Chinese is essential; both written and verbal. Possess relevant working experience in data management, preferably in an investment and banking environment. Experience working with enterprise databases using database technologies (eg. PL/SQL, SQL, NoSQL). Experience in programming language (eg. Python). Passion for data and technology. Good team player, with strong analytical skills and enjoy complex problem solving with innovative ideas. Strong communication/people skills required to interact with business end-users. Good at working with details and is meticulous for operations.  You can apply directly through our recruitment portal at: https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=5929&company=gicprivate&username=",https://www.mycareersfuture.sg/job/research-data-management-associate-gic-2bf35a81c8111cee14d72d5ce0bd907e,Central,Government support available
5,"Senior Associate Executive / Associate Executive, Data Management",AGENCY FOR INTEGRATED CARE PTE. LTD.,"Permanent, Full Time","Executive, Senior Executive",Information Technology,Salary undisclosed,,"The successful candidate will support the Service Implementation Team (SIT) in preparation of data and reports to meet the information needs in various service implementation and planning projects. Day-to-day responsibilities include the following:  Consolidate, clean, and transform raw data in Excel and online database. Create, maintain and improve reports in Excel, PowerPoint and Tableau to support various analysis projects and reporting needs. Work with Information Technology (IT) personnel to resolve technical issues. Support SIT in various information collation and analysis initiatives. Document Standard Operating Procedures (SOP) for data management, processing and reporting. Provide admin support to the team. ","Requirements Diploma in any discipline with at least 1 year work experience. Competent in Microsoft Excel 2010. Minimally able to create pivot tables, build formulas (i.e. logical, text, date & time, vlookup) and conditional formatting. Basic understanding of VBA programming. Preferably with experience in building reports and dashboards in Tableau or Excel. Experience in mapping using Tableau or Geographic Information System(QGIS) software would be advantageous. ",https://www.mycareersfuture.sg/job/senior-associate-executive-associate-executive-data-management-agency-integrated-care-b318aba68e17e53534ba739a9dc9ef48,Central,Government support available
6,Technical Support Executive / Assistant (Technical Data Management),SINGAPORE AERO ENGINE SERVICES PRIVATE LIMITED,Full Time,Fresh/entry level,Engineering,"$1,600to$3,000",Monthly,"Responsibilities    Create and maintain engine and component worksheets in accordance with OEM approved technical data Maintain the updated library of OEM approved technical data Work with various departments to ensure worksheets satisfactorily support Engine, Module and Component Repair operations ","RequirementsRequirements  Minimum Higher NITEC with relevant work experience or Diploma in Aerospace/Mechanical/Mechatronics/Materials Engineering Basic knowledge of component repair processes (eg. Welding, Machining, Thermal Spray, Paint, NDT, Cleaning) Basic knowledge of high bypass gas turbine engines and the engine assembly process Experience in an engine overhaul shop is valued Proficient in MS Excel and Word Knowledge of SAP is an added advantage Meticulous team player with good communication skills Willing to work in Changi ",https://www.mycareersfuture.sg/job/technical-support-executive-assistant-singapore-aero-engine-services-17b8582e861d01c0e1b795f7d7bf755d,East,
7,Hiring for Solution Architect- Product Master Data Management,ARYAN SOLUTIONS PTE. LTD.,Permanent,Senior Management,Consulting ,"$8,000to$12,000",Monthly,We are hiring for the positions of Solution Architect- Product Master Data Management. Salary- Open for discussion Location- Singapore Role and Responsibilities   Design and implement innovative solutions to complex business problems where analysis of situations requires an in-depth knowledge of organizational and business processes and objectives.  Maintain and own solution blueprint and technical roadmap of product information management applications and integration which fits within overall technology architecture.  Manage and coordinate projects to deliver new or enhanced functions to the Global Technology . ,"RequirementsRequirements  At least 6-8 years of relevant technical experience in a PIM product, Informatica Customer or Product 360 is a plus. Systems integration experience (e.g. ETL /  message broker) is a plus.  5+ years of relevant technical experience on MDM or PIM Products with minimum 5 project implementation experience, Informatica Customer/Product 360 is a plus.  5+ years of experience working with business stakeholders and other technologists in a project capacity . Experience in consulting companies as a solution architect for MDM and/or PIM implementation is an advantage.  Knowledge of architecture standard and industry best practices in MDM/PIM domains  Interested candidates can share their resume at recruitment@aryansearch.com or call at T +65 67087429 Ext: 212 for a confidential discussion.",https://www.mycareersfuture.sg/job/hiring-solution-architect-product-master-data-management-aryan-solutions-9ce6977a0ce947faa5d6d70e963b3761,East,Government support available
8,Product Master Data Management,INTELLECT MINDS PTE. LTD.,Full Time,Executive,Information Technology,"$6,500to$8,000",Monthly,"Company Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Product Master Data Management to join their esteemed organization.","RequirementsWe are looking for a strong candidate with a passion for technology, a desire to apply technology to meet business objectives, and to help develop our maturity and solutions in the master data management area. You will own the continuous development, improvement, and technology surround our product information management (aka PIM) applications and integration for usage by key business functions. Key Responsibilities  Design and implement innovative solutions to complex business problems where analysis of situations requires an in-depth knowledge of organizational and business processes and objectives. Clear and concise articulation, presentation, and documentation of technical opportunities, constraints, recommendations, and action items to both internal and external audiences. Maintain and own solution blueprint and technical roadmap of product information management applications and integration which fits within overall technology architecture. Co-own the roadmap for PIM and surrounding integration and other technologies with the business product owner. Manage and coordinate projects to deliver new or enhanced functions to the Global Technology application landscape that are aligned with business strategy and objectives while adhering to best in class PIM best practices and reference architectures in the industry. Lead and contribute to problem solving and solutioning activities relating to data models, functional data flows, product lifecycle management, and other data related topics end-to-end in our systems landscape and across different business processes.  Key Requirements  At least 6-8 years of relevant technical experience in a PIM product, Informatica Customer or Product 360 is a plus. Systems integration experience (e.g. ETL / message broker) is a plus. 5+ years of relevant technical experience on MDM or PIM Products with minimum 5 project implementation experience, Informatica Customer/Product 360 is a plus. 5+ years of experience working with business stakeholders and other technologists in a project capacity Experience in consulting companies as a solution architect for MDM and/or PIM implementation is an advantage. Knowledge of architecture standard and industry best practices in MDM/PIM domains.  All successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. Interested Candidates, please submit your detailed resume online. To your success! The Recruitment Team Intellect Minds Pte Ltd (Singapore)",https://www.mycareersfuture.sg/job/product-master-data-management-intellect-minds-4b2fb1e733823987b153338b9251f6a6,Central,Government support available
9,Technical Services Engineer (Technical Data Management),SINGAPORE AERO ENGINE SERVICES PRIVATE LIMITED,Full Time,Executive,Engineering,"$3,200to$4,500",Monthly,"Responsibilities  Review and approve Engine, Module and Component Repair worksheets in accordance with OEM approved technical data. Streamline and approve work sequences for efficient processing of components Ensure technical compliance with OEM approved documents. Work with various departments to ensure worksheets satisfactorily support Engine, Module and Component Repair operations. Maintaining a professional technical interface with OEM   ","RequirementsRequirements  Degree in Mechanical or Aerospace Engineering (Candidates possessing both Diploma certification and relevant experience will be considered). Good knowledge of component repair processes (eg. Welding, Machining, Thermal Spray, Paint, NDT, Cleaning) Basic knowledge of high bypass gas turbine engines and the engine assembly process. Experience in an engine overhaul shop is valued. Proficient in MS Excel and Word. Knowledge of SAP is an added advantage. Meticulous team player with good communication skills. ",https://www.mycareersfuture.sg/job/technical-services-engineer-singapore-aero-engine-services-8868c39ddf791676e01cf8066ab887fb,East,
