,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,School of Infocomm - Lecturer (Data Analytics  /  Machine Learning  /  Artificial Intelligence),Republic Polytechnic,Full Time,,"Education and Training, Public / Civil Service",Salary undisclosed,,"Responsibilities  The school is looking for dynamic individuals who can perform the following tasks for our full time and part-time course offerings in the areas of Data Analytics, Machine Learning and Artificial Intelligence.  Curriculum development, facilitate student learning, project supervision, assessment setting and associate tasks for modules related to Data Analytics, Machine Learning, Artificial Intelligence and other foundational ICT related modules Designing and developing materials, including e-learning Supporting student development in areas of mentoring, career guidance and competition training Soliciting and supervising student internships Participating in the delivery of outreach activities to market the school and our course offerings to potential students Possibly involved in supervising poly-wide projects as well as off-campus projects with the industry  You will also get the opportunity to work closely with other staff in developing new and innovative technologies to showcase such capabilities via use of AI in edge devices and conversational UI for use in bots. You should possess good oral and written skills along with a high degree of self-motivation and ability to work effectively in a team environment.      Requirements   Qualification in IT / Computer Science or its related fields, with at least 3-6 years of relevant industry experience Knowledge of Machine Learning algorithms, Deep Neural Network and reinforcement learning Certification/Knowledge on cognitive tools like Microsoft Bot Framework & Cognitive Services, IBM Watson, Amazon Alexa etc. Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data Experienced in distributed processing, database modeling, database development, data pipelines, API design, optimization, modelling, big data, model implementation, data visualization, messaging systems Experienced in using Deep Learning frameworks such as TensorFlow, Caffe, Caffe2, PyTorch, or MxNet, Keras or CNTK Experienced in using Apache Kafka, Apache Spark, Scala, Apache Flink, Apache Airflow, Apache Storm, Python, NumPy, Pandas, Mesos, Cassandra, HBase, ZooKeeper, Map-Reduce, Hadoop HDFS, Hadoop YARNGood understanding with actual implementation experiences using Data Analytics, Machine Learning and Artificial Intelligence  ",,https://www.mycareersfuture.sg/job/school-infocomm-lecturer-republic-polytechnic-1e7a2170ae00170cdf89cf8a8fcd5b3c,,
1,"Specialist Manager, Data Analytics and Machine Learning - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Senior Management,Engineering,"$11,400to$22,800",Monthly,"Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Google Cloud Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. The role: Specialist Manager, Data Analytics and Machine Learning - Singapore When leading companies choose Google Cloud it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products. Additional Role Description: As a Specialist Manager with a core focus on Data Analytics and Machine Learning, your team’s experience will help customers realize new insights and transform their business through advanced data analytics and machine learning.  You will lead a team of Data Analytics and Machine Learning professionals that is responsible for providing technical and solution advice and remove technical roadblocks. This will be done in a variety of ways, including working directly with customers in workshops and mentoring on best practice assets.   In this role, you will have excellent technical, communication, and organizational skills. You are an excellent motivator and possess the interpersonal skills required to manage a diverse technical professionals. You'll also maintain personal technical expertise and be prepared to engage directly with prospects as opportunities present themselves. You will have the ability to work cross-functionally with our Product, Support, Engineering, and Sales teams. Responsibilities: - Provide customers with Data Analytics and Machine Learning expertise as it relates to our Google Cloud Platform products. - Work closely with regional Customer Engineering Leads to identify key customer opportunities. Ensure the team is aligned and supporting strategic agreements, while identifying business and technical requirements and creating client solutions. - Lead and mentor a regional wide team of cloud data/ML experts. Determine proper staffing levels to support business goals, establish job requisitions, assemble candidate pool, and lead interviews. - Capture best practices through customer engagements and help build the Customer Engineering team’s skills and knowledge. Bring an understanding of region customer product requirements and how it relates to roadmap to our global teams. - Travel regularly in for customer meetings and technical reviews. Represent Google at conferences and advocate our message to market at events.","RequirementsMinimum qualifications: - Bachelor's degree in Computer Science, related technical field, or equivalent practical experience. - Experience leading teams across multiple geographies. - Experience in a cloud computing environment or in a customer facing role working in professional services or systems engineering. Experience with ML frameworks. - Experience in data analytics or data and information lifecycle management. Experience managing databases. Preferred qualifications: - Master's degree in Computer Science. - Experience building ML solutions and leveraging ML architectures (e.g., deep learning, LSTM, convolutional networks). - Experience managing large and complex security and network implementations. Experience with Python or MATLAB. - Experience with cloud computing with knowledge across compute, storage, networking, and security. Understanding of infrastructure automation, continuous integration/deployment, SQL/NoSQL and modern scale out, and cloud-based fault tolerant architecture. - Experience developing Data Warehousing, batch or real-time event processing and ETL workflows solutions (e.g., architecture, implementing, tuning, schema design, and query optimization). - Knowledge of the broader cloud market and competitive dynamics.",https://www.mycareersfuture.sg/job/specialist-manager-data-analytics-machine-learning-singapore-google-asia-pacific-43b65e25f8e3675e6f90fbaf332e50b8,South,Government support available
2,Software Engineer in Machine Learning,LEADIQ SINGAPORE PTE. LTD.,Permanent,Professional,"Information Technology, Sciences / Laboratory / R&D","$5,000to$7,500",Monthly,"Are you the type of engineer who punches juke boxes to make the music start? Do you consider riding your motorcycle off into the a sunset a personal hobby? Is architecting a system from the ground up no big deal to you? We're looking for full-time software engineer to make this happen. The Product We are on a mission to revolutionize Sales industry using data science. Our product helps our customers to collect and enrich their target prospects. Our internal data processing combines human intelligence and data science to enable our customers to find perfect contact information and save to their existing platforms like Salesforce, etc. The Challenge  We are at an exciting stage in our growth. We are getting traction with big customers, scaling out, and solving increasingly complex engineering problems. Our systems are mostly written in Scala. We have used Kafka as backbone to communicate between our API server and micro-services. Smart architecture design is crucial in order to guarantee our micro-services based systems run smoothly and reliably.  We have very complex integrations with 3rd parties systems like Salesforce, Gmail and etc. These integrations are core to what we're offering to our customers. This position will involve the development and deployment of machine learning technology in areas such as email signature extraction, account recommendation, company domain searching, natural language processing etc.  This position will involve collecting training and test data set using DB scripts or Spark scripts. This position will involve writing APIs for clients to utilize your trained models.  The Stack Scala, Python, Keras, Kafka, Spark, MongoDB, ElasticSearch, Hyperledger, Docker The Team We want team members with attributes like: - Focus on delivering value to the customer  - Strong belief in collaboration  - Passion that drives you to execute and innovate  - Ability to self-manage and take ownership of a feature  - Ability to juggle many projects and responsibilities - Extremely entrepreneurial and self-driven - Not afraid of a steep learning curve  - Passionate about building a big business that transforms the sales industry - Exceptional at writing scalable, production-ready code - Thrive in a fast-paced environment - Avoid over-engineering  - Simple designs and fast execution  - Discipline in following process and documenting your work These personality traits define the culture we are building and are more important to us than a particular set of technical skills. The Responsibilities If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads).  Basic Qualifications  Master’s degree in Computer Science, Computer Engineering, Statistics, Economics, Mathematics or Physics or related field 2+ years of experience with Machine Learning techniques and tools to include one or more of the following: classification, clustering, regression or neural networks  Preferred Qualifications  1+ years of experience with Spark, Kafka, or Elastic Search 2+ years of experience of functional programming with Scala, Haskell or Clojure Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data Experience with Agile software development Strong oral, written and interpersonal communication skills and an ability to work in a team environment Comfortable working in an environment where problems are not always well-defined   So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!","RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads). ",https://www.mycareersfuture.sg/job/software-engineer-machine-learning-leadiq-singapore-fd46a5106f5ea860263dae08acd0213f,Central,
3,"Software Engineer, Machine Learning - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Executive,Engineering,"$6,700to$13,400",Monthly,"Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Engineering & Operations Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. The role: Software Engineer, Machine Learning Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions. Additional Role Description: The team in Singapore works on new on-device machine learning models for health and wellness. Responsibilities: - Design, develop, test, deploy, maintain and improve software.  - Manage individual project priorities, deadlines and deliverables. ","RequirementsMinimum qualifications: - PhD in Computer Science, related technical discipline or equivalent practical experience. - 5 years of experience in the Machine Learning field. - Experience with coding in data structures, algorithms and software design. - Research experience in Artificial Intelligence, Distributed Systems, Machine Learning, Data Mining, Natural Language Processing, Image Classification, Spam Fighting or related fields. Preferred qualifications: - Experience programming in the following languages: C++, and/or Python. - Experience with large scale distributed systems design.",https://www.mycareersfuture.sg/job/software-engineer-machine-learning-singapore-google-asia-pacific-88776bf252b69e1f1e2b65406811aa20,South,Government support available
4,"Vice President, Machine Learning Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Full Time,Middle Management,Information Technology,"$9,000to$13,500",Monthly,"Team Introduction Launched in 2012, Lazada Group has grown rapidly to include over 4.900 full-time employees in the region, with eCommerce operations in Indonesia, Malaysia, Philippines, Singapore, Thailand, Vietnam and a sourcing center in China that drives cross-border marketplace activities, Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm.  Revolutionizing the way customers shop in Southeast Asia and perform online transactions across the region, Lazada has reached an online footprint of approximately 6 million unique daily visits to its websites, and the largest Facebook community in Southeast Asia with over 16.5 million fans.  Lazada Group owns the biggest and the most efficient technology driven logistics and fulfilment ecosystem in the region – Lazada eLogistics. With 11 own warehouses, 5 sorting centers, 78 last-mile hubs we are ensuring 48 hours delivery of more than 6 million orders every month. Our warehouses cover more than 115 thousands of square miles and it takes less than 2 hours to process every order even during massive sales campaigns. Having our own cross-border operator helps us connect more than 100 million of customers and businesses from all over Asia. Our transportation is driven by our own Lazada Express delivery fleet which, together with more than 80 third-party logistics, guarantees high quality 48 hours delivery. All of that would be impossible without sophisticated IT systems, which are being developed and expanded in-house by one of the most experienced and agile tech teams in Southeast Asia! The Role  Work closely with data scientists to productionize machine learning models and build highly scalable APIs Build or customize machine learning models to suit the project requirements Build data pipelines using big data tools to ensure timely data delivery for your projects Collaborate with team members to build reusable components and improve software engineering practises in the team  ","Requirements Bachelor's or Master's degree preferably in computer science or related field Understanding of machine learning algorithms, deep learning and big data processing tools Exposure to big data tools like Hive, Spark, Map Reduce Proven work experience delivering software projects preferably server side or backend development Solid understanding of data structures and algorithms, concepts like concurrency, no-sql databases etc. 2+ years of experience in Java. Good understanding of Python and SQL Understanding of object oriented programming and design concepts  ",https://www.mycareersfuture.sg/job/vice-president-machine-learning-engineer-lazada-south-east-asia-8e729fc4f77a8e0eced761573b0546cd,Central,Government support available
5,Machine Learning Algorithm Engineer / Senior Engineer,MEDIATEK SINGAPORE PTE. LTD.,Permanent,"Executive, Senior Executive",Engineering,"$3,500to$7,000",Monthly,"1. Develop Machine Learning/Deep Learning algorithm for machine vision/natural language processing 2. Explore new applications in the next generation smartphone, surveillance, smart home and autonomous vehicles","Requirements1. Experience in deep neural networks (CNN, RNN, LSTM, and Transformer) 2. Experience in deep learning methodology such as unsupervised learning, reinforcement learning, network reduction, GAN 3. Experience in C/C++/Python Programming 4. Familiar with Machine Learning/Computer Vision 5. Familiar with Caffe/TensorFlow 6. Education (Bachelor/Master’s degree, Ph.D. is preferred)",https://www.mycareersfuture.sg/job/machine-learning-algorithm-engineer-senior-engineer-mediatek-singapore-b68df3b89b5f97f841f19007f29bb9d7,South,
6,Machine Learning Developer,AVIATION VIRTUAL PTE. LTD.,Full Time,Professional,Information Technology,"$2,000to$4,000",Monthly,"Proficient in C#, Java or C++ programming and Object Oriented Programming. Proficient in Machine Learning  Experienced in Photogrammetry is a plus Experienced in iOS/Android development is a plus Experienced in point cloud scanning and processing is a plus Good problem-solving and debugging skills  ",RequirementsDegree /Diploma in information technology with few years working experience.  Able to working independently  ,https://www.mycareersfuture.sg/job/machine-learning-developer-aviation-virtual-e156baed07dcb4a0e7e5b887b5169db3,,
7,MACHINE LEARNING,ZENIKA PTE. LTD.,Full Time,Professional,Information Technology,"$5,000to$7,000",Monthly,"We are looking for an expert in machine learning to help us extract value from our data. You will lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to production. The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field. Responsibilities - Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress - Managing available resources such as hardware, data, and personnel so that deadlines are met - Analyzing the ML algorithms that could be used to solve a given problem and ranking them by their success probability - Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world - Verifying data quality, and/or ensuring it via data cleaning - Supervising the data acquisition process if more data is needed - Finding available datasets online that could be used for training - Defining validation strategies - Defining the preprocessing or feature engineering to be done on a given dataset - Defining data augmentation pipelines - Training models and tuning their hyperparameters - Analyzing the errors of the model and designing strategies to overcome them - Deploying models to production  ",Requirements- Proficiency with a deep learning framework such as TensorFlow or Keras - Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas - Expertise in visualizing and manipulating big datasets - Proficiency with OpenCV - Familiarity with Linux - Ability to select hardware to run an ML model with the required latency,https://www.mycareersfuture.sg/job/machine-learning-zenika-206083188470c820d5fd136238fdb43f,Central,
8,Senior Machine Learning Engineer,MINDCRAFT SINGAPORE PTE. LTD.,Full Time,Senior Executive,Information Technology,"$4,000to$7,000",Monthly,"Our vision is to build a unified Commercial Digital Platform capability (data, people, processes, technology), which will enable us to enable a step change in commercial performance, transform customer experiences, and play a pioneering role in redefining our industry over the long term. Our aim is to deliver the most engaging experiences for our customers, underpinned by digital technologies and new agile ways of working. As part of this work, in partnership with BCG Digital Ventures (part of the Boston Consulting Group), we have built a MVP for a predictive shipping analytics platform using the latest Machine Learning and AI technologies. We are now looking for smart people to join the team and propel the next phase of the product’s development, and support the broader digitalisation transformation across Rio Tinto’s commercial function. Our Data Science role provides an opportunity to design and build analytics methodologies, solutions, and technology products to deliver extraordinary value to users in collaboration with software engineers, designers and product managers. Exceptional candidates will show an analytical curiosity going beyond the immediate requirements of the venture to find deep insights that others have missed. They will ask questions about outliers, seek to understand the fundamental drivers of advantage and look for clues that may change the basis of competition. Responsibilities: ● Demonstrate and communicate a passion for building the data foundation, products and capabilities that drive business growth ● Create data segmentation and modelling ● Build innovative data products (e.g., Artificial Intelligence, real-time services, such as personalisation and commerce graphing using Big Data platforms with real-time data ingestion and processing) ● Execute descriptive analyses, ranging from identifying product opportunities to understanding user behaviour","RequirementsExperience: ● Techniques like: Statistics based Machine Learning, Deep Learning, and Graph Theory ● Cloud Architecture background ● One or more programming languages like Python, Java, R, or Scala ● Delivering data science components that are part of successful commercial products ● Collaborating with engineering teams to develop prototypes and software products that can be deployed across varied environments (e.g.: cloud, on-premises, devices, etc.) ● Big Data and Fast Data (i.e.: real time streaming) Ideals: Advanced degree in Computer Science, Statistics, Mathematics, or related area (or equivalent) Relevant work experience, including experience with forecasting, time series, decision trees, geospatial/geolocation analysis, probabilistic models, neural networks Familiarity with SQL or other querying language",https://www.mycareersfuture.sg/job/senior-machine-learning-engineer-mindcraft-singapore-77a6453165f62994e6f9bb0e7328c3ae,East,Government support available
9,Software Engineer – Machine Learning,SHOPEE SINGAPORE PRIVATE LIMITED,"Permanent, Full Time",Executive,Information Technology,"$4,400to$8,400",Monthly,"We are a group of scientists and engineers who use our technologies to solve real world problems. We understand data and products. We live with data, collecting, analysing and using data, help user to find their favourite items, detect patterns and mining interesting results. We stand on the wave of AI revolution, using latest techniques to build products. This is a position that need continuously study and problem solving.   Job Description:  Analyse data from various sources, find patterns and provide solutions Write high-quality, clean, elegant, and reusable code; build common libraries Build high performance, high availability, scalability, and easy to maintain services Communicate with other team, deep understand data from different sources and product architecture, optimise the data process pipeline Design and implement various supporting tools as needed   ","RequirementsRequirements:  More than 3 years of relevant experience Passionate about coding and programming, innovation, and solving challenging problems Bachelor's or higher degree in Computer Science or related fields In-depth understanding of data structures and other computer science fundamentals Hands-on experience in at least one of the programming languages: Go, Python or C++ Machine learning algorithms such as clustering, classification algorithms and data processing tools such as tensorflow, scikit    Skills below are optional but preferable:  Hands-on experience in distributed data platforms and processing frameworks such as Hadoop, Spark, Map-Reduce Hands-on experience in Linux development environments and Shell Scripting ",https://www.mycareersfuture.sg/job/software-engineer-%E2%80%93-machine-learning-shopee-singapore-a50cabdc318b274048f9df46e78f84da,South,
